reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
82a40837-7347-4b3d-8322-ce92bf9ee6cd,Rueny Kayung,https://play-lh.googleusercontent.com/a-/ALV-UjWNZfaNX5FRNphE0eyaKECbsZi4J3sdsPjGDgHOTBxqAg,Mantap,5,0,24.8.1,2023-12-13 15:41:31,,,24.8.1
80f82eca-e4b5-44e2-a829-c2cee82af84a,Alfian Hidayat,https://play-lh.googleusercontent.com/a/ACg8ocKczAIj7FJO-LNkqNB2tCu32Ijg9IZZzDFnVIQaRCDX=mo,Game yang sangat realistis,5,0,24.8.1,2023-12-13 15:39:43,,,24.8.1
ccb16720-d979-4d0b-a1e7-fb425d288237,Narisem Narisem,https://play-lh.googleusercontent.com/a/ACg8ocLiwYD_iahxpnEikto8WMd_7SpbMhN8QefoaEunj2bq=mo,"Untuk desain stadion Level 15 (batas maksimum) kurang bagus, malah lebih bagus yg level sebelumnya",5,0,,2023-12-13 15:17:46,,,
2c8e82ac-c677-4bbb-aedb-31cedeb0fb63,Khairul Hitam,https://play-lh.googleusercontent.com/a/ACg8ocIZ630b20_eRBzPy63-9RsRo7OxYKqv6JDOMT_ZdUWp=mo,Ga jelas banget ini gem,5,0,24.9.1,2023-12-13 15:10:49,,,24.9.1
4d8fe5a8-d8d1-46f5-a2ac-3cadbdbbb517,Afrijon Tony,https://play-lh.googleusercontent.com/a/ACg8ocKLC1LVHThAGs4ldrlp5AsLC-1eKRGtXtCCHAi5u_EX=mo,Rekomendasi,5,0,24.9.1,2023-12-13 15:01:16,,,24.9.1
a1d349d1-e4c2-499a-b0f9-0c038fbd0a45,Ariyanto,https://play-lh.googleusercontent.com/a/ACg8ocLcxZZUVyO4FiiQiGYtFJaUHNue3fi446gPus1g2i5D=mo,Seru juga.,5,0,24.8,2023-12-13 14:57:56,,,24.8
b710a5e8-fea5-4acc-9871-ca2b34a1f3c7,Vifqi Aldi mulyana,https://play-lh.googleusercontent.com/a-/ALV-UjXZFHQCYDjqd736lSzSrVH7i5uMvnXdptMfghdvERyeIK8,"Game mnyettt, taiiii",1,0,24.9.1,2023-12-13 14:51:03,,,24.9.1
6d50c499-bfbb-4885-8688-54db781b421b,Saul None,https://play-lh.googleusercontent.com/a/ACg8ocK2mpefTa12PmEgWWceFu1QmCHZMJH5lTtVjlLc6J0B=mo,Nice game,5,0,,2023-12-13 14:41:45,,,
ba31768b-0c18-419e-b62f-8bd2c3c51bb6,donny bagus,https://play-lh.googleusercontent.com/a-/ALV-UjXH_Wmu4GwLUElP7rwXJ8yZ1oU8vh9jVgitc_d4mbBkk5A,Rekoment untuk diberi bintang 1...game sangat buruk dan pay to win. Dan masih banyak kebrobrokan game ini. Video atau clip pertandingan di potong potong. Mana ada pertandingan bola macam itu woy .?,1,0,24.9.1,2023-12-13 14:32:59,,,24.9.1
b6e2cf5c-3ef1-4c92-b35a-cc408390b947,Hafidz Raffi Rabbani,https://play-lh.googleusercontent.com/a-/ALV-UjWhDa9-8VtDKYwIkVx6V9zr_N9BBVX8kf-5oxA5AKs4OA,Game yang cocok untuk orang yang suka dgn strategi sepak bola :) namun untuk mendapatkan poin T sangat susahh,4,0,24.8.1,2023-12-13 14:32:38,,,24.8.1
009cbe23-3a92-4125-9868-7fc26c3c783c,Govindo Leba,https://play-lh.googleusercontent.com/a-/ALV-UjXOa-XHXeG1j0TsZrPtRsngCYTmtSezBLOxDiBvigp_GT8,👍👍👍👍😊,5,0,24.9.1,2023-12-13 14:25:27,,,24.9.1
c02922f4-ddb3-4c9d-90d4-603d2e6be4d5,febrian_ id,https://play-lh.googleusercontent.com/a-/ALV-UjVn3KjbQBHOwEwlZpmVMIu868Kl_Fgua_Tj2_bSryxpOxE,Ok,5,0,24.9.1,2023-12-13 14:17:05,,,24.9.1
db39366f-3e9b-4124-a86d-26a55355b319,Vikki Nurmansyah_11,https://play-lh.googleusercontent.com/a-/ALV-UjXo6DoHcWjyx07JaH8d_CRkY0O9Ar3u65LM8AGqf-kEWYE,sangat bagus,5,0,24.9.1,2023-12-13 14:07:08,,,24.9.1
